"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1633","High Speed",0,0,"(6,8]",48,"White","College",1,"(40,57]","Female","Repubican"
"1634","High Speed",NA,NA,"[1,4]",18,"Non-Whte","HS or Less",1,"[18,40]","Male","Democrat"
"1635","High Speed",NA,NA,"(4,6]",20,"White","Some College",1,"[18,40]","Male","Independent"
"1636",NA,NA,NA,"[1,4]",47,"White","HS or Less",4,"(40,57]","Male","Independent"
"1637","Dial-Up",NA,NA,"(4,6]",56,"White","College",1,"(40,57]","Female","Repubican"
"1638","Dial-Up",NA,NA,"(6,8]",49,"White","College",2,"(40,57]","Female","Independent"
"1639",NA,NA,NA,"(4,6]",40,"White","College",2,"[18,40]","Female","Repubican"
"1640","High Speed",0,0,"[1,4]",22,"White","HS or Less",4,"[18,40]","Female","Repubican"
"1641",NA,NA,NA,NA,72,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1642","High Speed",0,0.5,NA,58,"White","College",1,"(57,86]","Female","Democrat"
"1643","High Speed",0,0,"[1,4]",50,"White","Some College",1,"(40,57]","Female","Democrat"
"1644",NA,1,0,NA,34,"White","College",1,"[18,40]","Female","Independent"
"1645","Dial-Up",NA,NA,"(6,8]",50,"White","College",2,"(40,57]","Female","Repubican"
"1646",NA,NA,NA,"[1,4]",65,"White","College",1,"(57,86]","Female","Independent"
"1647","Dial-Up",0,0,"[1,4]",48,"White","Some College",1,"(40,57]","Male","Democrat"
"1648",NA,NA,NA,"[1,4]",19,"White","HS or Less",3,"[18,40]","Male","Democrat"
